John,John,M,1515,12086
James,James,M,1064,
Margaret,Margaret,F,970,
Janet,Janet,F,913,
William,William,M,871,
Agnes,Agnes,F,658,
Robert,Robert,M,630,
Elizabeth,Elizabeth,F,597,
Mary,Mary,F,585,
Jean,Jean,F,570,
Isobel,Isobel,F,327,
Thomas,Thomas,M,270,
Alexander,Alexander,M,249,
Ann,Ann,F,246,
Andrew,Andrew,M,231,
Archibald,Archibald,M,207,
Katherine,Katherine,F,197,
George,George,M,184,
Christian,Christian,F,167,
David,David,M,158,
Marion,Marion,F,143,
Helen,Helen,F,114,
Matthew,Matthew,M,106,
Hugh,Hugh,M,78,
Peter,Peter,M,64,
Walter,Walter,M,62,
Grizell,Grizell,F,61,
Daniel,Daniel,M,57,
Allan,Allan,M,52,
Lillie,Lillie,F,40,
Martha,Martha,F,39,
Susanna,Susan,F,33,
Bethia,Betty,F,32,
Charles,Charles,M,32,
Joanna,Joanna,F,31,
Patrick,Patrick,M,31,
Sarah,Sarah,F,31,
Annabel,Annabel,F,26,
Adam,Adam,M,24,
Henry,Henry,M,24,
Duncan,Duncan,M,22,
Joseph,Joseph,M,19,
Colin,Colin,M,18,
Francis,Francis,M,18,
Barbara,Barbara,F,17,
Ninian,Ninian,M,16,
Richard,Richard,M,16,
Stephen,Stephen,M,16,
Bessie,Bessie,F,12,
Gabriel,Gabriel,M,12,
Neil,Neil,M,12,
Euphan,Euphan,F,11,
Gavin,Gavin,M,9,
Rebecca,Rebecca,F,9,
Dougall,Dougall,M,8,
Florence,Florence,F,8,
Rachel,Rachel,F,8,
Zacharias,Zacharias,M,8,
Donald,Donald,M,7,
Arthur,Arthur,M,6,
Dorothy,Dorothy,F,6,
Ebenezer,Ebenezer,M,6,
Frances,Frances,F,6,
Malcolm,Malcolm,M,6,
Michael,Michael,M,6,
Rabina,Rabina,F,6,
Moses,Moses,M,5,
Samuel,Samuel,M,5,
Simon,Simon,M,5,
Abigail,Abigail,F,4,
Abraham,Abraham,M,3,
Amelia,Amelia,F,3,
Basil,Basil,M,3,
Christopher,Christopher,M,3,
Eleonora,Eleonora,F,3,
Gilbert,Gilbert,M,3,
Marjorie,Marjorie,F,3,
Sophia,Sophia,F,3,
Bartholomew,Bartholomew,M,2,
Beatrix,Beatrix,F,2,
Benjamin,Benjamin,M,2,
Bernard,Bernard,M,2,
Charlotte,Charlotte,F,2,
Cicily,Cicily,F,2,
Claud,Claud,M,2,
Cornelius,Cornelius,M,2,
Douglas,Douglas,M,2,
Edward,Edward,M,2,
Ezekiel,Ezekiel,M,2,
Hector,Hector,M,2,
Henrietta,Henrietta,F,2,
Isaac,Isaac,M,2,
Lauchlan,Lachlan,M,2,
Lydia,Lydia,F,2,
Magdalene,Magdalene,F,2,
Murdoch,Murdoch,M,2,
Paul,Paul,M,2,
Penelope,Penelope,F,2,
Quantine,Quantine,M,2,
Rosanna,Rosanna,F,2,
Rowan,Rowan,M,2,
Angus,Angus,M,1,
Arabina,Arabina,F,1,
Basilea,Basilea,F,1,
Cesar,Charles,M,1,
Clementina,Clementina,F,1,
Dinah,Dinah,F,1,
Elijah,Elijah,M,1,
Hendry,Henry,M,1,
Humphrey,Humphrey,M,1,
July,July,F,1,
Ludavick,Ludavick,M,1,
Marcus,Marcus,M,1,
Marmaduke,Marmaduke,M,1,
Martin,Martin,M,1,
Nans,Nans,F,1,
Philip,Philip,M,1,
Primrose,Primrose,F,1,
Reuben,Reuben,M,1,
Ruth,Ruth,F,1,
Solomon,Solomon,M,1,